公司代码,年份,词频
000150,2016,28
000150,2017,15
000150,2018,9
000150,2019,8
000151,2007,0
000151,2008,0
000151,2009,0
000151,2010,0
000151,2011,0
000151,2012,0
000151,2013,0
000151,2014,0
000151,2015,0
000151,2016,0
000151,2017,0
000151,2018,0
000151,2019,0
000153,2007,0
000153,2008,0
000153,2009,0
000153,2010,0
000153,2011,0
000153,2012,0
000153,2013,0
000153,2014,0
000153,2015,0
000153,2016,0
000153,2017,0
000153,2018,0
000153,2019,0
000155,2007,0
000155,2008,0
000155,2009,0
000155,2010,0
000155,2011,0
000155,2012,0
000155,2013,0
000155,2014,0
000155,2015,0
000155,2016,0
000155,2017,0
000155,2018,0
000155,2019,0
000156,2007,0
000156,2008,0
000156,2009,0
000156,2010,0
000156,2011,0
000156,2012,3
000156,2013,6
000156,2014,4
000156,2015,21
000156,2016,14
000156,2017,25
000156,2018,30
000156,2019,17
000157,2007,0
000157,2008,0
000157,2009,0
000157,2010,0
000157,2011,0
000157,2012,0
000157,2013,0
000157,2014,2
000157,2015,10
000157,2016,8
000157,2017,9
000157,2018,15
000157,2019,16
000158,2007,0
000158,2008,0
000158,2009,0
000158,2010,0
000158,2011,0
000158,2012,0
000158,2013,0
000158,2014,1
000158,2015,29
000158,2016,24
000158,2017,47
000158,2018,99
000158,2019,159
000159,2007,0
000159,2008,0
000159,2009,0
000159,2010,0
000159,2011,0
000159,2012,0
000159,2013,0
000159,2014,0
000159,2015,0
000159,2016,0
000159,2017,0
000159,2018,0
000159,2019,0
000301,2007,0
000301,2008,0
000301,2009,1
000301,2010,1
000301,2011,1
000301,2012,2
000301,2013,2
000301,2014,1
000301,2015,6
000301,2016,10
000301,2017,4
000301,2018,0
000301,2019,2
000333,2013,14
000333,2014,38
000333,2015,18
000333,2016,13
000333,2017,45
000333,2018,54
000333,2019,39
000338,2007,0
000338,2008,0
000338,2009,0
000338,2010,0
000338,2011,1
000338,2012,0
000338,2013,0
000338,2014,2
000338,2015,0
000338,2016,1
000338,2017,5
000338,2018,4
000338,2019,2
000400,2007,0
000400,2008,2
000400,2009,8
000400,2010,3
000400,2011,8
000400,2012,2
000400,2013,3
000400,2014,2
000400,2015,0
000400,2016,8
000400,2017,7
000400,2018,8
000400,2019,7
000401,2007,0
000401,2008,0
000401,2009,0
000401,2010,0
000401,2011,0
000401,2012,0
000401,2013,0
000401,2014,0
000401,2015,1
000401,2016,0
000401,2017,0
000401,2018,1
000401,2019,0
000402,2007,0
000402,2008,0
000402,2009,0
000402,2010,0
000402,2011,0
000402,2012,0
000402,2013,0
000402,2014,3
000402,2015,5
000402,2016,2
000402,2017,1
000402,2018,0
000402,2019,1
000403,2007,0
000403,2008,0
000403,2009,0
000403,2010,0
000403,2011,0
000403,2012,0
000403,2013,0
000403,2014,0
000403,2015,0
000403,2016,0
000403,2017,0
000403,2019,0
000403,2018,0
000404,2007,0
000404,2008,0
000404,2009,1
000404,2010,0
000404,2011,0
000404,2012,0
000404,2013,0
000404,2014,0
000404,2015,0
000404,2016,0
000404,2017,1
000404,2018,11
000404,2019,7
000407,2007,0
000407,2008,0
000407,2009,0
000407,2010,0
000407,2011,0
000407,2012,0
000407,2013,0
000407,2014,0
