公司代码,年份,词频
000048,2017,互联网金融-4
000048,2018,人工智能-1
000048,2018,大数据-2
000049,2013,移动互联-1
000049,2014,移动互联-1
000049,2015,大数据-1
000049,2015,智能家居-1
000049,2016,人工智能-1
000049,2016,智能机器人-1
000049,2016,智能家居-3
000049,2017,人工智能-2
000049,2017,智能机器人-1
000049,2017,智能穿戴-1
000049,2017,智能家居-5
000049,2018,人工智能-4
000049,2018,物联网-3
000049,2018,智能家居-6
000049,2019,人工智能-5
000049,2019,物联网-6
000049,2019,智能医疗-1
000049,2019,智能家居-6
000050,2014,智能家居-3
000050,2015,增强现实-1
000050,2015,虚拟现实-1
000050,2015,物联网-1
000050,2015,智能穿戴-3
000050,2015,智能交通-1
000050,2015,智能医疗-1
000050,2015,智能家居-5
000050,2016,自动驾驶-2
000050,2016,增强现实-1
000050,2016,虚拟现实-1
000050,2016,智能穿戴-9
000050,2016,智能家居-9
000050,2017,增强现实-1
000050,2017,虚拟现实-1
000050,2017,物联网-2
000050,2017,网联-1
000050,2017,智能穿戴-9
000050,2017,智能医疗-1
000050,2017,智能家居-7
000050,2018,自动驾驶-1
000050,2018,增强现实-1
000050,2018,虚拟现实-1
000050,2018,物联网-5
000050,2018,智能穿戴-5
000050,2018,移动互联-1
000050,2018,智能医疗-2
000050,2018,智能家居-7
000050,2019,人工智能-2
000050,2019,自动驾驶-3
000050,2019,增强现实-1
000050,2019,虚拟现实-1
000050,2019,物联网-5
000050,2019,区块链-1
000050,2019,网联-1
000050,2019,智能穿戴-8
000050,2019,智能医疗-1
000050,2019,智能家居-6
000055,2017,人工智能-1
000055,2017,云计算-1
000055,2019,自动驾驶-3
000055,2019,大数据-2
000055,2019,物联网-1
000055,2019,互联网金融-2
000056,2013,电子商务-1
000056,2014,O2O-1
000056,2017,大数据-1
000056,2018,大数据-3
000056,2018,移动互联网-1
000056,2019,大数据-3
000056,2019,移动互联网-1
000058,2008,电子商务-3
000058,2009,电子商务-13
000058,2010,电子商务-24
000058,2011,电子商务-3
000058,2012,电子商务-20
000058,2013,智能穿戴-1
000058,2013,电子商务-20
000058,2013,B2B-1
000058,2014,云计算-1
000058,2014,物联网-1
000058,2014,O2O-1
000058,2014,移动互联网-3
000058,2014,电子商务-16
000058,2014,互联网金融-1
000058,2015,大数据-2
000058,2015,云计算-1
000058,2015,物联网-1
000058,2015,O2O-3
000058,2015,智能穿戴-1
000058,2015,移动互联网-5
000058,2015,电子商务-19
000058,2015,智能家居-1
000058,2015,互联网金融-1
000058,2016,云计算-1
000058,2016,物联网-1
000058,2016,O2O-3
000058,2016,移动互联网-4
000058,2016,电子商务-27
000058,2016,智能家居-7
000058,2017,电子商务-2
000058,2017,智能家居-1
000058,2018,电子商务-1
000058,2019,电子商务-1
000059,2016,电子商务-1
000059,2017,电子商务-1
000059,2018,电子商务-1
000060,2019,大数据-1
000061,2007,电子商务-4
000061,2008,电子商务-4
000061,2009,电子商务-4
000061,2010,电子商务-1
000061,2010,B2B-1
000061,2010,B2C-1
000061,2011,电子商务-1
000061,2012,电子商务-4
000061,2013,物联网-2
000061,2013,电子商务-18
000061,2014,电子商务-36
000061,2014,B2B-1
000061,2014,互联网金融-1
000061,2015,电子商务-18
000061,2016,电子商务-10
000061,2017,大数据-1
000061,2017,电子商务-9
000061,2018,大数据-5
000061,2018,物联网-1
000061,2018,移动互联网-1
000061,2018,电子商务-4
000061,2018,智慧农业-1
000061,2019,大数据-2
000061,2019,电子商务-5
000062,2009,电子商务-7
000062,2010,电子商务-20
000062,2010,B2B-6
000062,2010,B2C-6
000062,2011,电子商务-20
000062,2011,B2B-2
000062,2012,O2O-5
000062,2012,电子商务-37
000062,2012,B2B-8
000062,2012,B2C-1
000062,2013,O2O-5
000062,2013,第三方支付-6
000062,2013,移动互联网-1
000062,2013,电子商务-38
000062,2013,B2B-7
000062,2013,B2C-1
000062,2014,O2O-3
000062,2014,第三方支付-2
000062,2014,电子商务-27
000062,2014,B2B-10
000062,2014,B2C-3
000062,2015,大数据-3
000062,2015,智能穿戴-2
000062,2015,电子商务-18
000062,2015,B2B-8
000062,2015,B2C-2
000062,2015,智能家居-1
000062,2015,互联网金融-4
000062,2016,大数据-1
000062,2016,电子商务-13
000062,2016,B2B-6
000062,2016,B2C-1
000062,2016,智能家居-2
000062,2017,大数据-3
000062,2017,物联网-1
000062,2017,智能穿戴-2
000062,2017,移动互联网-1
000062,2017,电子商务-10
000062,2017,B2B-6
000062,2017,智能家居-10
000062,2018,人工智能-1
000062,2018,大数据-4
000062,2018,数据挖掘-1
000062,2018,云计算-1
000062,2018,物联网-5
000062,2018,O2O-1
000062,2018,智能穿戴-1
000062,2018,电子商务-6
000062,2018,B2B-8
000062,2018,B2C-1
000062,2018,智能家居-6
000062,2019,人工智能-1
000062,2019,商业智能-1
000062,2019,自动驾驶-1
000062,2019,大数据-10
000062,2019,物联网-7
000062,2019,智能穿戴-1
000062,2019,电子商务-5
000062,2019,B2B-24
000062,2019,智能家居-7
000063,2009,云计算-1
000063,2009,物联网-1
000063,2009,移动互联网-1
000063,2009,智能交通-1
000063,2011,云计算-4
000063,2011,物联网-3
000063,2011,分布式计算-1
000063,2011,移动互联网-6
000063,2012,云计算-4
000063,2012,物联网-4
000063,2012,分布式计算-1
000063,2012,移动互联网-6
000063,2012,智能交通-2
000063,2013,大数据-3
000063,2013,云计算-5
000063,2013,物联网-6
000063,2013,分布式计算-1
000063,2013,移动互联网-6
000063,2014,大数据-13
000063,2014,云计算-11
000063,2014,物联网-4
000063,2014,分布式计算-1
000063,2014,移动支付-1
000063,2014,移动互联网-3
000063,2014,移动互联-2
000063,2015,人工智能-1
000063,2015,大数据-14
000063,2015,数据挖掘-1
000063,2015,云计算-12
000063,2015,物联网-10
000063,2015,分布式计算-1
000063,2015,移动互联网-4
000063,2015,移动互联-2
000063,2015,电子商务-3
000063,2015,智能家居-1
000063,2016,人工智能-5
000063,2016,大数据-9
000063,2016,增强现实-3
000063,2016,虚拟现实-6
000063,2016,云计算-13
000063,2016,物联网-15
000063,2016,分布式计算-1
000063,2016,移动互联网-1
000063,2016,电子商务-1
000063,2016,智能家居-1
000063,2017,人工智能-2
000063,2017,大数据-6
000063,2017,增强现实-1
000063,2017,虚拟现实-1
000063,2017,云计算-6
000063,2017,物联网-13
000063,2017,分布式计算-1
000063,2017,移动互联网-1
000063,2017,电子商务-1
000063,2018,人工智能-2
000063,2018,大数据-4
000063,2018,增强现实-1
000063,2018,虚拟现实-1
000063,2018,云计算-7
000063,2018,物联网-6
000063,2018,分布式计算-1
000063,2018,移动互联网-2
000063,2018,移动互联-1
000063,2018,电子商务-1
000063,2018,智能电网-1
000063,2019,人工智能-2
000063,2019,自动驾驶-2
000063,2019,大数据-4
000063,2019,增强现实-1
000063,2019,虚拟现实-1
000063,2019,云计算-5
000063,2019,物联网-6
000063,2019,分布式计算-1
000063,2019,移动互联网-1
000063,2019,电子商务-1
000063,2019,智能电网-1
000065,2016,电子商务-1
000066,2009,移动互联-1
000066,2010,云计算-1
000066,2011,云计算-2
000066,2012,云计算-6
000066,2013,大数据-5
000066,2013,云计算-9
000066,2013,移动互联网-1
000066,2013,移动互联-1
000066,2014,大数据-3
000066,2014,云计算-7
000066,2014,移动互联网-1
000066,2014,移动互联-1
000066,2015,大数据-4
000066,2015,云计算-8
000066,2015,移动互联网-1
000066,2016,人工智能-1
000066,2016,大数据-2
000066,2016,云计算-7
000066,2016,物联网-1
000066,2016,移动互联网-1
000066,2016,智能环保-1
000066,2017,人工智能-1
000066,2017,大数据-2
000066,2017,云计算-1
000066,2017,物联网-1
000066,2017,移动互联网-2
000066,2017,移动互联-1
000066,2017,互联网金融-1
000066,2018,人工智能-5
000066,2018,人脸识别-1
000066,2018,语音识别-1
000066,2018,大数据-4
000066,2018,云计算-8
000066,2018,移动互联网-1
000066,2019,人工智能-5
000066,2019,大数据-3
000066,2019,云计算-3
000066,2019,网联-2
000066,2019,移动互联网-1
000066,2019,工业互联网-5
000068,2010,电子商务-1
000068,2011,电子商务-4
000068,2012,电子商务-2
000068,2015,第三方支付-1
000068,2018,大数据-1
000068,2018,物联网-1
000068,2019,大数据-1
000068,2019,物联网-1
000069,2013,云计算-1
000069,2013,物联网-3
000069,2014,O2O-3
000069,2014,移动互联网-1
000069,2015,大数据-1
000069,2016,大数据-1
000069,2016,移动互联网-1
000069,2017,大数据-1
000069,2017,O2O-1
000069,2017,移动互联网-1
000069,2018,大数据-1
000069,2019,人脸识别-1
000069,2019,大数据-4
000069,2019,区块链-1
000070,2009,智能电网-1
000070,2010,智能电网-2
000070,2011,智能电网-1
000070,2013,云计算-1
000070,2013,物联网-1
000070,2013,智能电网-1
000070,2014,大数据-1
000070,2014,物联网-2
000070,2014,移动互联网-4
000070,2014,智能电网-2
000070,2015,大数据-2
000070,2015,云计算-3
000070,2015,物联网-1
000070,2015,移动互联网-1
000070,2016,大数据-1
000070,2017,大数据-1
000070,2017,物联网-2
000070,2017,智能电网-1
000070,2018,大数据-1
000070,2018,物联网-1
000070,2018,智能电网-1
000070,2019,大数据-3
000070,2019,云计算-1
000070,2019,物联网-1
000070,2019,智能电网-4
000078,2014,移动互联网-1
000078,2014,移动互联-2
000078,2014,电子商务-3
000078,2015,O2O-1
000078,2015,移动互联-1
000078,2015,电子商务-1
000078,2017,人工智能-1
000078,2017,大数据-1
000078,2018,人工智能-2
000078,2018,大数据-1
000078,2018,物联网-2
000078,2018,移动互联网-1
000088,2012,电子商务-1
000088,2013,电子商务-1
000088,2014,电子商务-1
000088,2015,电子商务-1
000088,2016,电子商务-1
000088,2017,电子商务-1
000089,2012,电子商务-1
000089,2013,移动互联网-1
000089,2013,电子商务-4
000089,2014,大数据-1
000089,2014,物联网-1
000089,2014,移动互联-1
000089,2014,电子商务-1
000089,2015,大数据-1
000089,2015,电子商务-1
000089,2016,大数据-1
000089,2016,云计算-1
000089,2016,第三方支付-1
000089,2016,电子商务-1
000089,2017,大数据-1
000089,2017,移动互联网-1
000089,2019,人工智能-1
000089,2019,大数据-1
000090,2015,O2O-2
000090,2018,智能机器人-1
000090,2019,大数据-1
000090,2019,云计算-1
000090,2019,物联网-2
000096,2018,EB-3
000096,2019,大数据-2
000096,2019,EB-6
000100,2019,大数据-1
000100,2019,物联网-1
000100,2011,云计算-1
000100,2012,云计算-1
000100,2012,电子商务-2
